Сталь;C;Si;Mn;Cr;Ni;Ti;Al;W;Mo;Nb;V;S;P;Cu;Co;Zr;Be;Se;N;Pb;Fe;Класс;Использование
Н18К12М3Т2;0;0;0;0;18 - 18;1,4 - 1,4;0;0;3 - 3;0;0;0;0;0;12 - 12;0;0;0;0;0;~65;Класс: Сталь конструкционная высокопрочная высоколегированная;"Использование в промышленности: для изделий с высокой прочностью при достаточной пластичности и вязкости, высоким сопротивлением малым пластическим деформациям,хрупкому и усталостному разрушению, применяемых в машиностроении, приборостроении и инструментальной промышленности; сталь мартенситно-стареющая"
Н18К12М4Т2;0;0;0;0;18 - 18;2 - 2;0;0;4 - 4;0;0;0;0;0;12 - 12;0;0;0;0;0;~64;Класс: Сталь конструкционная высокопрочная высоколегированная;"Использование в промышленности: для изделий с высокой прочностью при достаточной пластичности и вязкости, высоким сопротивлением малым пластическим деформациям,хрупкому и усталостному разрушению, применяемых в машиностроении, приборостроении и инструментальной промышленности; сталь мартенситно-стареющая"
Н18К14М5Т;0;0;0;0;18 - 18;1,5 - 1,5;0;0;5 - 5;0;0;0;0;0;14 - 14;0;0;0;0;0;~61;Класс: Сталь конструкционная высокопрочная высоколегированная;"Использование в промышленности: для изделий с высокой прочностью при достаточной пластичности и вязкости, высоким сопротивлением малым пластическим деформациям,хрупкому и усталостному разрушению, применяемых в машиностроении, приборостроении и инструментальной промышленности; сталь мартенситно-стареющая"
Н18К3М4Т;0;0;0;0;18 - 18;0,26 - 0,26;0;0;4,2 - 4,2;0;0;0;0;0;3,2 - 3,2;0;0;0;0;0;~74;Класс: Сталь конструкционная высокопрочная высоколегированная;"Использование в промышленности: для изделий с высокой прочностью при достаточной пластичности и вязкости, высоким сопротивлением малым пластическим деформациям,хрупкому и усталостному разрушению, применяемых в машиностроении, приборостроении и инструментальной промышленности; сталь мартенситно-стареющая"
Н18К4М7ТС;0;0,7 - 0,7;0;0;18 - 18;0,6 - 0,6;0;0;7,7 - 7,7;0;0;0;0;0;4,5 - 4,5;0;0;0;0;0;~68;Класс: Сталь конструкционная высокопрочная высоколегированная;"Использование в промышленности: для изделий с высокой прочностью при достаточной пластичности и вязкости, высоким сопротивлением малым пластическим деформациям,хрупкому и усталостному разрушению, применяемых в машиностроении, приборостроении и инструментальной промышленности; сталь мартенситно-стареющая"
Н18К7М5Т;0;0;0;0;18 - 18;0,5 - 0,5;0;0;5,5 - 5,5;0;0;0;0;0;7 - 7;0;0;0;0;0;~69;Класс: Сталь конструкционная высокопрочная высоколегированная;"Использование в промышленности: для изделий с высокой прочностью при достаточной пластичности и вязкости, высоким сопротивлением малым пластическим деформациям,хрупкому и усталостному разрушению, применяемых в машиностроении, приборостроении и инструментальной промышленности; сталь мартенситно-стареющая"
Н18К8М3Т;0;0;0;0;18 - 18;0,2 - 0,2;0;0;3 - 3;0;0;0;0;0;8 - 8;0;0;0;0;0;~70;Класс: Сталь конструкционная высокопрочная высоколегированная;"Использование в промышленности: для изделий с высокой прочностью при достаточной пластичности и вязкости, высоким сопротивлением малым пластическим деформациям,хрупкому и усталостному разрушению, применяемых в машиностроении, приборостроении и инструментальной промышленности; сталь мартенситно-стареющая"
Н18К8М5Т;0;0;0;0;18 - 18;0,5 - 0,5;0;0;5 - 5;0;0;0;0;0;8 - 8;0;0;0;0;0;~68;Класс: Сталь конструкционная высокопрочная высоколегированная;"Использование в промышленности: для изделий с высокой прочностью при достаточной пластичности и вязкости, высоким сопротивлением малым пластическим деформациям,хрупкому и усталостному разрушению, применяемых в машиностроении, приборостроении и инструментальной промышленности; сталь мартенситно-стареющая"
Н18К9М5Т;0;0;0;0;18;0,5;0;0;5;0;0;0;0;0;9;0;0;0;0;0;~67;Класс: Сталь конструкционная высокопрочная высоколегированная;"Использование в промышленности: для изделий с высокой прочностью при достаточной пластичности и вязкости, высоким сопротивлением малым пластическим деформациям,хрупкому и усталостному разрушению, применяемых в машиностроении, приборостроении и инструментальной промышленности; сталь мартенситно-стареющая"
Н18Ф6М3;0;0;0;0;18 - 18;0;0;0;3 - 3;0;6 - 6;0;0;0;0;0;0;0;0;0;~73;Класс: Сталь конструкционная высокопрочная высоколегированная;"Использование в промышленности: для изделий с высокой прочностью при достаточной пластичности и вязкости, высоким сопротивлением малым пластическим деформациям,хрупкому и усталостному разрушению, применяемых в машиностроении, приборостроении и инструментальной промышленности; сталь мартенситно-стареющая"
Н18Ф6М6;0;0;0;0;18 - 18;0;0;0;6 - 6;0;6 - 6;0;0;0;0;0;0;0;0;0;~70;Класс: Сталь конструкционная высокопрочная высоколегированная;"Использование в промышленности: для изделий с высокой прочностью при достаточной пластичности и вязкости, высоким сопротивлением малым пластическим деформациям,хрупкому и усталостному разрушению, применяемых в машиностроении, приборостроении и инструментальной промышленности; сталь мартенситно-стареющая"
Н8К18М14;0;0;0;0;8 - 8;0;0;0;14 - 14;0;0;0;0;0;18 - 18;0;0;0;0;0;~60;Класс: Сталь конструкционная высокопрочная высоколегированная;"Использование в промышленности: для изделий с высокой прочностью при достаточной пластичности и вязкости, высоким сопротивлением малым пластическим деформациям,хрупкому и усталостному разрушению, применяемых в машиностроении, приборостроении и инструментальной промышленности; сталь мартенситно-стареющая"
У10;0,96 - 1,03;0,17 - 0,33;0,17 - 0,33;до 0,2;до 0,25;0;0;0;0;0;0;до 0,028;до 0,03;до 0,25;0;0;0;0;0;0;~97;Класс: Сталь инструментальная углеродистая;Использование в промышленности: инструмент, работающий в  условиях, не вызывающих разогрева режущей кромки: метчики ручные,  рашпили, надфили, пилы для обработки древесины, матрицы для холодной  штамповки, гладкие калибры, топоры.
У10А;0,96 - 1,03;0,17 - 0,33;0,17 - 0,28;до 0,2;до 0,2;0;0;0;0;0;0;до 0,018;до 0,025;до 0,2;0;0;0;0;0;0;~97;Класс: Сталь инструментальная углеродистая;Использование в промышленности: инструмент, работающий в  условиях, не вызывающих разогрева режущей  кромки: метчики ручные,  рашпили, надфили, пилы для обработки древесины,  матрицы для холодной  штамповки, гладкие калибры, топоры.
У11;1,06 - 1,13;0,17 - 0,33;0,17 - 0,33;до 0,2;до 0,25;0;0;0;0;0;0;до 0,028;до 0,03;до 0,25;0;0;0;0;0;0;~97;Класс: Сталь инструментальная углеродистая;Использование в промышленности: метчики ручные, рашпили, надфили, пилы для обработки древесины, матрицы для холодной штамповки, топоры, калибры простой формы и пониженных классов точности
У11А;1,06 - 1,13;0,17 - 0,33;0,17 - 0,28;до 0,2;до 0,2;0;0;0;0;0;0;до 0,018;до 0,025;до 0,2;0;0;0;0;0;0;~97;Класс: Сталь инструментальная углеродистая;Использование в промышленности: метчики ручные, рашпили, надфили, пилы для обработки древесины, матрицы для холодной штамповки, топоры, калибры простой формы и пониженных классов точности
У12;1,16 - 1,23;0,17 - 0,33;0,17 - 0,33;до 0,2;до 0,25;0;0;0;0;0;0;до 0,028;до 0,03;до 0,25;0;0;0;0;0;0;~97;Класс: Сталь инструментальная углеродистая;Использование в промышленности: режущие инструменты, работающие в  условиях, не вызывающих разогрева режущей кромки: метчики ручные,  метчики машинные мелкоразмерные, плашки для круппов, развертки  мелкоразмерные, надфили, измерительный инструмент простой формы: гладкие  калибры, скобы.
У12А;1,16 - 1,23;0,17 - 0,33;0,17 - 0,28;до 0,2;до 0,2;0;0;0;0;0;0;до 0,018;до 0,025;до 0,2;0;0;0;0;0;0;~97;Класс: Сталь инструментальная углеродистая;Использование в промышленности: режущие инструменты, работающие в  условиях, не вызывающих разогрева  режущей кромки: метчики ручные,  метчики машинные мелкоразмерные, плашки  для круппов, развертки  мелкоразмерные, надфили, измерительный  инструмент простой формы: гладкие  калибры, скобы.
У13;1,26 - 1,34;0,17 - 0,33;0,17 - 0,33;до 0,2;до 0,25;0;0;0;0;0;0;до 0,028;до 0,03;до 0,25;0;0;0;0;0;0;~97;Класс: Сталь инструментальная углеродистая;Использование в промышленности: инструменты повышенной износостойкости, работающие при умеренных и значительных давлениях без разогрева режущей кромки
У13А;1,26 - 1,34;0,17 - 0,33;0,17 - 0,28;до 0,2;до 0,2;0;0;0;0;0;0;до 0,018;до 0,025;до 0,2;0;0;0;0;0;0;~97;Класс: Сталь инструментальная углеродистая;Использование в промышленности: инструменты повышенной износостойкости, работающие при умеренных и значительных давлениях без разогрева режущей кромки
У7;0,66 - 0,73;0,17 - 0,33;0,17 - 0,33;до 0,2;до 0,25;0;0;0;0;0;0;до 0,028;до 0,03;до 0,25;0;0;0;0;0;0;~98;Класс: Сталь инструментальная углеродистая;Использование в промышленности: инструмент, который работает в условиях, не вызывающих разогрева рабочей кромки: зубила, долота, бородки, молотки, лезвия ножниц для резки металла, топоры, колуны, стамески, плоскогубцы комбинированные, кувалды.
У7А;0,66 - 0,73;0,17 - 0,33;0,17 - 0,28;до 0,2;до 0,2;0;0;0;0;0;0;до 0,018;до 0,025;до 0,2;0;0;0;0;0;0;~98;Класс: Сталь инструментальная углеродистая;Использование в промышленности: инструмент, который работает в  условиях, не вызывающих разогрева рабочей кромки: зубила, долота,  бородки, молотки, лезвия ножниц для резки металла, топоры, колуны,  стамески, плоскогубцы комбинированные, кувалды.
У8;0,76 - 0,83;0,17 - 0,33;0,17 - 0,33;до 0,2;до 0,25;0;0;0;0;0;0;до 0,028;до 0,03;до 0,25;0;0;0;0;0;0;~97;Класс: Сталь инструментальная углеродистая;Использование в промышленности: для инструмента, работающего в  условиях, не вызывающих разогрева режущей кромки: фрез, зенковок,  топоров, стамесок, долот, пил продольных и дисковых, накатных роликов,  кернеров, отверток, комбинированных плоскогубцев, боковых кусачек.
У8А;0,76 - 0,83;0,17 - 0,33;0,17 - 0,28;до 0,2;до 0,2;0;0;0;0;0;0;до 0,018;до 0,025;до 0,2;0;0;0;0;0;0;~98;Класс: Сталь инструментальная углеродистая;Использование в промышленности: для инструмента, работающего в условиях, не вызывающих разогрева режущей кромки: фрез, зенковок, топоров, стамесок, долот, пил продольных и дисковых, накатных роликов, кернеров, отверток, комбинированных плоскогубцев, боковых кусачек.
У8Г;0,81 - 0,89;0,17 - 0,33;0,33 - 0,58;до 0,2;до 0,25;0;0;0;0;0;0;до 0,028;до 0,03;до 0,25;0;0;0;0;0;0;~97;Класс: Сталь инструментальная углеродистая;Использование в промышленности: для производства пружинной ленты
У8ГА;0,81 - 0,89;0,17 - 0,33;0,33 - 0,58;до 0,2;до 0,2;0;0;0;0;0;0;до 0,018;до 0,025;до 0,2;0;0;0;0;0;0;~97;Класс: Сталь инструментальная углеродистая;Использование в промышленности: для производства пружинной ленты
У9;0,86 - 0,93;0,17 - 0,33;0,17 - 0,33;до 0,2;до 0,25;0;0;0;0;0;0;до 0,028;до 0,03;до 0,25;0;0;0;0;0;0;~97;Класс: Сталь инструментальная углеродистая;Использование в промышленности: инструмент, работающий в  условиях, не вызывающих разогрева кромки: инструмент для обработки  дерева, слесарно-монтажный инструмент, калибры простой формы и  пониженных классов точности.
У9А;0,86 - 0,93;0,17 - 0,33;0,17 - 0,28;до 0,2;до 0,2;0;0;0;0;0;0;до 0,018;до 0,025;до 0,2;0;0;0;0;0;0;~97;Класс: Сталь инструментальная углеродистая;Использование в промышленности: инструмент, работающий в  условиях, не вызывающих разогрева кромки:  инструмент для обработки  дерева, слесарно-монтажный инструмент, калибры  простой формы и  пониженных классов точности.
05Х12Н6Д2МФСГТ;0,01 - 0,08;0,6 - 1,2;0,2 - 1,2;11,5 - 13,5;5,5 - 6,5;0,4 - 0,8;0;0;0,2 - 0,4;0;0,2 - 0,5;до 0,03;до 0,03;1,4 - 2,2;0;0;0;0;0;0;~76;Класс: Сталь инструментальная легированная;Использование в промышленности: для инструмента формообразующих деталей пресс-форм формования резинотехнических и пластмассовых изделий
11Х4В2МФ3С2;1,05 - 1,15;0,1 - 0,4;0,4 - 0,7;0,4 - 0,7;до 0,35;0;0;0;0;0;0,15 - 0,3;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь инструментальная легированная;Использование в промышленности: для метчиков и другого режущего инструмента диаметром до 30 мм, закаливаемого с охлаждением в горячих средах
11ХФ;1,15 - 1,25;0,1 - 0,4;0,3 - 0,6;1,3 - 1,65;до 0,35;0;0;0;0;0;0;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь инструментальная легированная;Использование в промышленности: для измерительного инструмента (плиток, калибров, шаблонов)
12Х1;1,15 - 1,25;0,1 - 0,4;0,3 - 0,6;1,3 - 1,65;до 0,35;0;0;0;0;0;0;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь инструментальная легированная;Использование в промышленности: для измерительного инструмента (плиток, калибров, шаблонов)
13Х;1,25 - 1,4;0,1 - 0,4;0,15 - 0,45;0,4 - 0,7;до 0,35;0;0;0;0;0;0;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь инструментальная легированная;Использование в промышленности: для бритвенных ножей и лезвий, острого хирургического инструмента, шаберов, гравировального инструмента
3Х2МНФ;0,27 - 0,33;0,1 - 0,4;0,3 - 0,6;2 - 2,5;1,2 - 1,6;0;0;0;0,4 - 0,6;0;0,25 - 0,4;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~94;Класс: Сталь инструментальная легированная;"Использование в промышленности: крупные молотовые штампы; штампы-контейнеры; кольца-бандажи; крупные внутренние втулки"
4ХМНФС;0,35 - 0,45;0,7 - 1;0,15 - 0,45;1,25 - 1,55;1,2 - 1,6;0;0;0;0,65 - 0,85;0;0,35 - 0,5;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~94;Класс: Сталь инструментальная легированная;Использование в промышленности: для молотовых штампов, бандажей и матриц
4ХС;0,35 - 0,45;1,2 - 1,6;0,15 - 0,45;1,3 - 1,6;0;0;0;0;0;0;0;до 0,03;до 0,03;0;0;0;0;0;0;0;~96;Класс: Сталь инструментальная легированная;"Использование в промышленности: для зубил, обжимок, ножниц при холодной и горячей резке металла; штампов горячей вытяжки"
5ХВ2СФ;0,45 - 0,55;0,8 - 1,1;0,15 - 0,45;0,9 - 1,2;0;0;0;1,8 - 2,3;0;0;0,15 - 0,3;до 0,03;до 0,03;0;0;0;0;0;0;0;~94;Класс: Сталь инструментальная легированная;"Использование в промышленности: ножи для холодной резки металла, резьбонакатные плашки, пуансоны и обжимные матрицы при холодной работе;деревообделочные инструменты при длительной работе"
5ХНВ;0,5 - 0,6;0,1 - 0,4;0,5 - 0,8;0,5 - 0,8;1,4 - 1,8;0;0;0,4 - 0,7;0;0;0;до 0,03;до 0,03;0;0;0;0;0;0;0;~95;Класс: Сталь инструментальная легированная;Использование в промышленности: для молотовых штампов паровоздушных и пневматических молотов с массой падающих частей до 3 тонн
5ХНВС;0,5 - 0,6;0,6 - 0,9;0,3 - 0,6;1,3 - 1,6;0,8 - 1,2;0;0;0,4 - 0,7;0;0;0;до 0,03;до 0,03;0;0;0;0;0;0;0;~95;Класс: Сталь инструментальная легированная;Использование в промышленности: для молотовых штампов паровоздушных и пневматических молотов с массой падающих частей до 3 тонн
6Х3МФС;0,55 - 0,62;0,35 - 0,65;0,2 - 0,6;2,6 - 3,3;0;0;0;0;0,2 - 0,5;0;0,3 - 0,6;до 0,03;до 0,03;0;0;0;0;0;0;0;~94;Класс: Сталь инструментальная легированная;"Использование в промышленности: для пуассонов, работающих с повышенными динамическими нагрузками; для холодновысадочных штампов, штемпелей, клейм; чеканочных штампов и некоторых слесарно-монтажных инструментов"
6Х4М2ФС;0,57 - 0,65;0,7 - 1;0,15 - 0,45;3,8 - 4,4;до 0,35;0;0;0;2 - 2,4;0;0,4 - 0,6;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~90;Класс: Сталь инструментальная легированная;Использование в промышленности: для вырубного и высадочного инструмента (штампов, пуасонов, пневматических зубил и др.), накатного инструмента
6Х6В3МФС;0,5 - 0,6;0,6 - 0,9;0,15 - 0,45;5,5 - 6,5;до 0,35;0;0;2,5 - 3,2;0,6 - 0,9;0;0,5 - 0,8;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~87;Класс: Сталь инструментальная легированная;"Использование в промышленности: для резьбонакатных роликов, зубонакатников,обрезных матриц и др. инструментов, приедназначенных для холодной пластической деформации металлов повышенной твердости; ножей труборазрубочных машин, ножей гильотинных ножниц для резки высокопрочных сталей и сплавов; рубильных ножей, применяемых в деревообрабатывающей промышленнности; шарошек для разрушения горных пород и других аналогичных инструментов"
7ХФ;0,63 - 0,73;0,15 - 0,35;0,3 - 0,6;0,4 - 0,7;до 0,035;0;0;0;0;0;0,15 - 0,3;до 0,03;до 0,03;0;0;0;0;0;0;0;~97;Класс: Сталь инструментальная легированная;Использование в промышленности: для изготовления деревообрабатывающих инструментов
8Х4В2МФС2;0,8 - 0,9;1,7 - 2;0,2 - 0,5;4,5 - 5,1;до 0,35;0;0;1,8 - 2,3;0,8 - 1,1;0;1,1 - 1,4;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~87;Класс: Сталь инструментальная легированная;Использование в промышленности: для матриц и пуасонов штампов холодного объемного деформирования, испытывающих в процессе эксплуатации давление до 2300 МПа, резьбонакатных роликов
8Х6НФТ;0,8 - 0,9;0,1 - 0,4;0,15 - 0,45;5 - 6;0,9 - 1,3;0,05 - 0,15;0;0;0;0;0,3 - 0,5;до 0,03;до 0,03;0;0;0;0;0;0;0;~91;Класс: Сталь инструментальная легированная;Использование в промышленности: для ножей, применяемых для фрезерования древесины, строгальных пил и других деревообрабатывающих инструментов
8ХФ;0,7 - 0,8;0,1 - 0,4;0,15 - 0,45;0,4 - 0,7;0;0;0;0;0;0;0,15 - 0,3;до 0,03;до 0,03;0;0;0;0;0;0;0;~97;Класс: Сталь инструментальная легированная;"Использование в промышленности: для штемпелей при холодной работе; ножей при холодной резке металла, обрезных матриц и пуассонов при холодной обрезке заусенцев; кернеров"
9Г2Ф;0,85 - 0,95;0,1 - 0,4;1,7 - 2,2;0;0;0;0;0;0;0;0,1 - 0,3;до 0,03;до 0,03;0;0;0;0;0;0;0;~96;Класс: Сталь инструментальная легированная;Использование в промышленности: для режущего и штамповочного инструмента
9Х1;0,8 - 0,95;0,25 - 0,45;0,15 - 0,4;1,4 - 1,7;до 0,35;до 0,03;0;до 0,2;до 0,2;0;до 0,15;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь инструментальная легированная;Использование в промышленности: рабочие и опорные валки для холодной прокатки металлов. Рабочие валки рельсобалочных, крупносортных и проволочных обжимных и сортовых станов для горячей прокатки металлов, подвергающиеся интенсивному износу и работающие в условиях минимальных или умеренных ударных нагрузок. Опорные составные валки листовых станов для горячей прокатки металла. Клейма, пробойники, холодновысадочные штампы, деревообрабатывающий инструмент и другие детали.
9Х5ВФ;0,85 - 1;0,1 - 0,4;0,15 - 0,45;4,5 - 5,5;0;0;0;0,8 - 1,2;0;0;0,15 - 0,3;до 0,03;до 0,03;0;0;0;0;0;0;0;~92;Класс: Сталь инструментальная легированная;Использование в промышленности: для ножей, применяемых для фрезерования древесины, строгальных пил и других деревообрабатывающих инструментов
9ХВГ;0,85 - 0,95;0,15 - 0,35;0,9 - 1,2;0,5 - 0,8;до 0,35;0;0;0,5 - 0,8;до 0,3;0;0;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь инструментальная легированная;Использование в промышленности: резьбовые калибры, лекала сложной формы, сложные весьма точные штампы для холодных работ, которые при закалке не должны подвергаться значительным объемным изменениям и короблению. 
9ХС;0,85 - 0,95;1,2 - 1,6;0,3 - 0,6;0,95 - 1,25;до 0,35;до 0,03;0;до 0,2;до 0,2;0;до 0,15;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~94;Класс: Сталь инструментальная легированная;Использование в промышленности: сверла, развертки, метчики, плашки, гребенки, фрезы, машинные штампели, клейма для холодных работ. Ответственные детали, материал которых должен обладать повышенной износостойкостью, усталостной прочностью при изгибе, кручении, контактном нагружении, а также упругими свойствами. 
9ХФ;0,8 - 0,9;0,1 - 0,4;0,3 - 0,6;0,4 - 0,7;до 0,35;0;0;0;0;0;0,15 - 0,3;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь инструментальная легированная;"Использование в промышленности: для рамных, ленточных, круглых строгальных пил; штемпелей при холодной работе; ножей при холодной резке металла, обрезных матриц и пуасонов при холодной обрезке заусенцев; кернеров"
9ХФМ;0,8 - 0,9;0,1 - 0,4;0,3 - 0,6;0,4 - 0,7;до 0,35;0;0;0,15 - 0,3;0,15 - 0,25;0;0;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь инструментальная легированная;Использование в промышленности: дисковые и рамные деревообрабатывающие пилы
В2Ф;1,05 - 1,22;0,1 - 0,4;0,15 - 0,45;0,2 - 0,4;0;0;0;1,6 - 2;0;0;0,15 - 0,3;до 0,03;до 0,03;0;0;0;0;0;0;0;~95;Класс: Сталь инструментальная легированная;Использование в промышленности: для ленточных пил по металлу и ножовочных полотен
Х;0,95 - 1,1;0,1 - 0,4;0,15 - 0,45;1,3 - 1,65;до 0,35;0;0;0;0;0;0;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь инструментальная легированная;"Использование в промышленности: для зубил, применяемых при насечке напильников; очень твердых кулачков эксцентриков и пальцев; гладких цилиндрических калибров и калиберных колец; токарных, строгальных и долбежных резцов в лекальных и ремонтных мастерских"
ХВ4;1,25 - 1,45;0,15 - 0,35;0,15 - 0,4;0,4 - 0,7;до 0,35;0;0;3,5 - 4,3;0;0;0,15 - 0,3;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~92;Класс: Сталь инструментальная легированная;Использование в промышленности: для прошивных пуассонов,инструментов для чистового резания твердых материалов с небольшой скоростью и граверных работ
ХВ4Ф;1,25 - 1,45;0,15 - 0,35;0,15 - 0,4;0,4 - 0,7;до 0,35;0;0;3,5 - 4,3;до 0,5;0;0,15 - 0,3;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~92;Класс: Сталь инструментальная легированная;Использование в промышленности: резцы и фрезы при обработке с небольшой скоростью резания твердых металлов (валки с закаленной поверхностью), гравировальные резцы при очень напряженной работе, прошивные пуансоны и т. д. 
ХВГ;0,9 - 1,05;0,1 - 0,4;0,8 - 1,1;0,9 - 1,2;до 0,35;0;0;1,2 - 1,6;до 0,3;0;0;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~94;Класс: Сталь инструментальная легированная;Использование в промышленности: измерительный и режущий инструмент, для которого повышенное коробление при закалке недопустимо, резьбовые калибры, протяжки, длинные метчики, длинные развертки и другой вид специального инструмента, холодновысадочные матрицы и пуансоны, технологическая оснастка. 
ХВСГ;0,95 - 1,05;0,65 - 1;0,6 - 0,9;0,6 - 1,1;до 0,25;0;0;0,5 - 0,8;0;0;0,05 - 0,15;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь инструментальная легированная;"Использование в промышленности: для изготовления инструментов, предназначенных для ручной работы; холодновысадочных матриц и пуассонов; технологической оснастки; деревообрабатывающих инструментов; ножей для бумажной промышленности"
ХВСГФ;0,95 - 1,05;0,65 - 1;0,6 - 0,9;0,6 - 1,1;0;0;0;0,5 - 0,8;0;0;0,05 - 0,15;до 0,03;до 0,03;0;0;0;0;0;0;0;~95;Класс: Сталь инструментальная легированная;Использование в промышленности: для круглых плашек, разверток и другого режущего инструмента
ХГС;0,95 - 1,05;0,4 - 0,7;0,85 - 1,25;1,3 - 1,65;до 0,35;0;0;0;0;0;0;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь инструментальная легированная;Использование в промышленности: для валков холодной прокатки, холодновысадочных матриц и пуасонов, вырубных штампов небольших размеров (диаметром или толщиной до 70 мм)
45ХНМ;0,4 - 0,5;0,17 - 0,37;0,5 - 0,8;1,3 - 1,7;1,2 - 1,6;0;0;0;0,1 - 0,3;0;0;до 0,04;до 0,04;0;0;0;0;0;0;0;~95;Класс: Сталь инструментальная валковая ;Использование в промышленности: оси составных опорных валков листовых станов для горячей прокатки металлов, шестеренные валы и другие. 
55Х;0,5 - 0,6;0,17 - 0,37;0,35 - 0,65;1 - 1,3;до 0,5;0;0;0;0;0;0;до 0,04;до 0,04;0;0;0;0;0;0;0;~96;Класс: Сталь инструментальная валковая;Использование в промышленности: оси составных опорных валков для холодной прокатки металлов. Рабочие валки блюмингов, слябингов, заготовочных, рельсобалочных, крупносортных, среднесортных и мелкосортных станов и рабочие валки листовых станов для горячей прокатки металлов. Редукторные валы, шестерни и другие нагруженные детали, подвергающиеся истиранию, но работающие без значительных ударных нагрузок. 
60Х2СМФ;0,57 - 0,65;1,05 - 1,3;0,2 - 0,7;1,8 - 2,1;до 0,5;0;0;0;0,25 - 0,35;0;0,1 - 0,25;до 0,03;до 0,03;0;0;0;0;0;0;0;~94;Класс: Сталь инструментальная валковая;Использование в промышленности: рабочие валки двух - и четырехвалковых клетей листовых станов для холодной прокатки металлов. 
60ХГ;0,55 - 0,65;0,17 - 0,37;0,8 - 1;1 - 1,3;до 0,4;0;0;0;0;0;0;до 0,04;до 0,04;0;0;0;0;0;0;0;~96;Класс: Сталь инструментальная валковая;Использование в промышленности: рабочие валки штрипсовых и мелкосортных станов для горячей прокатки металлов. 
60ХН;0,55 - 0,65;0,17 - 0,37;0,5 - 0,8;0,6 - 0,9;1 - 1,5;0;0;0;0;0;0;до 0,04;до 0,04;0;0;0;0;0;0;0;~96;Класс: Сталь инструментальная валковая ;Использование в промышленности: рабочие валки блюмингов, слябингов, заготовочных, рельсобалочных и крупносортных станов, рабочие опорные валки листовых станов для горячей прокатки металлов. 
60ХСМФ;0,55 - 0,65;1,05 - 1,3;0,4 - 0,7;1,4 - 1,8;до 0,5;0;0;0;0,4 - 0,6;0;0,15 - 0,25;до 0,03;до 0,03;0;0;0;0;0;0;0;~94;Класс: Сталь инструментальная валковая;Использование в промышленности: рабочие валки двух - и четырехвалковых клетей листовых станов для холодной прокатки металлов. 
75ХМ;0,7 - 0,8;0,2 - 0,6;0,2 - 0,7;1,4 - 1,7;до 0,5;0;0;0;0,2 - 0,3;0;0;до 0,03;до 0,03;0;0;0;0;0;0;0;~96;Класс: Сталь инструментальная валковая;Использование в промышленности: рабочие и опорные валки листовых станов для горячей прокатки черных металлов, опорные валки двух- и четырехвалковых клетей листовых станов для холодной прокатки металлов. 
75ХМФ;0,7 - 0,8;0,2 - 0,6;0,2 - 0,7;1,4 - 1,7;до 0,3;0;0;0;0,1 - 0,3;0;0,05 - 0,25;до 0,04;до 0,04;0;0;0;0;0;0;0;~96;Класс: Сталь инструментальная валковая ;Использование в промышленности: рабочие и опорные кованые валки листовых станов для горячей прокатки черных металлов. 
75ХСМФ;0,72 - 0,8;0,8 - 1,2;до 0,3;1,2 - 1,5;до 0,5;0;0;0;0,2 - 0,3;0;0,1 - 0,2;до 0,03;до 0,03;0;0;0;0;0;0;0;~95;Класс: Сталь инструментальная валковая;Использование в промышленности: рабочие валки листовых станов для холодной прокатки металлов. 
7Х2СМФ;0,7 - 0,8;0,7 - 1;0,6 - 1;1,7 - 2,2;до 0,5;0;0;0;0,35 - 0,6;0;0,15 - 0,3;до 0,03;до 0,03;0;0;0;0;0;0;0;~94;Класс: Сталь инструментальная валковая;Использование в промышленности: рабочие валки кованые для холодной прокатки металлов. 
90ХМФ;0,8 - 0,9;0,2 - 0,4;0,2 - 0,7;1,4 - 1,7;до 0,3;0;0;0;0,2 - 0,3;0;0,1 - 0,2;до 0,04;до 0,04;0;0;0;0;0;0;0;~96;Класс: Сталь инструментальная валковая;Использование в промышленности: опорные валки всех размеров и бандажи составных опорных валков листовых станов для горячей прокатки металлов. 
